,Unnamed: 0,filenames,folder_name,durations,view,labels,metadata,labels_single
58,58,0003_014_09052-09116_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_014_09052-09116_8', 'start_frame': 8955, 'end_frame': 9019, 'label': [8], 'view': 'center', 'filenames': '0003_014_09052-09116_8.mp4', 'durations': 64}",8
59,59,0003_015_09097-09161_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0003_015_09097-09161_11', 'start_frame': 9052, 'end_frame': 9116, 'label': [11], 'view': 'center', 'filenames': '0003_015_09097-09161_11.mp4', 'durations': 64}",11
60,60,0003_016_18239-18303_6.mp4,,64,center,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_016_18239-18303_6', 'start_frame': 9097, 'end_frame': 9161, 'label': [6], 'view': 'center', 'filenames': '0003_016_18239-18303_6.mp4', 'durations': 64}",6
62,62,0003_020_18941-19005_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_020_18941-19005_13', 'start_frame': 18606, 'end_frame': 18670, 'label': [13], 'view': 'center', 'filenames': '0003_020_18941-19005_13.mp4', 'durations': 64}",13
63,63,0003_022_19069-19133_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_022_19069-19133_13', 'start_frame': 19005, 'end_frame': 19069, 'label': [13], 'view': 'center', 'filenames': '0003_022_19069-19133_13.mp4', 'durations': 64}",13
64,64,0003_024_19197-19261_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_024_19197-19261_13', 'start_frame': 19133, 'end_frame': 19197, 'label': [13], 'view': 'center', 'filenames': '0003_024_19197-19261_13.mp4', 'durations': 64}",13
65,65,0003_026_20232-20296_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_026_20232-20296_13', 'start_frame': 20168, 'end_frame': 20232, 'label': [13], 'view': 'center', 'filenames': '0003_026_20232-20296_13.mp4', 'durations': 64}",13
66,66,0003_028_21187-21251_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_028_21187-21251_13', 'start_frame': 20296, 'end_frame': 20360, 'label': [13], 'view': 'center', 'filenames': '0003_028_21187-21251_13.mp4', 'durations': 64}",13
67,67,0003_030_21315-21379_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_030_21315-21379_13', 'start_frame': 21251, 'end_frame': 21315, 'label': [13], 'view': 'center', 'filenames': '0003_030_21315-21379_13.mp4', 'durations': 64}",13
68,68,0003_032_24017-24081_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_032_24017-24081_13', 'start_frame': 23710, 'end_frame': 23774, 'label': [13], 'view': 'center', 'filenames': '0003_032_24017-24081_13.mp4', 'durations': 64}",13
69,69,0003_033_24081-24145_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_033_24081-24145_13', 'start_frame': 24017, 'end_frame': 24081, 'label': [13], 'view': 'center', 'filenames': '0003_033_24081-24145_13.mp4', 'durations': 64}",13
70,70,0003_034_26184-26248_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_034_26184-26248_13', 'start_frame': 24081, 'end_frame': 24145, 'label': [13], 'view': 'center', 'filenames': '0003_034_26184-26248_13.mp4', 'durations': 64}",13
71,71,0003_035_26567-26631_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_035_26567-26631_13', 'start_frame': 26184, 'end_frame': 26248, 'label': [13], 'view': 'center', 'filenames': '0003_035_26567-26631_13.mp4', 'durations': 64}",13
72,72,0004_000_01948-02012_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_000_01948-02012_7', 'start_frame': 3, 'end_frame': 67, 'label': [7], 'view': 'center', 'filenames': '0004_000_01948-02012_7.mp4', 'durations': 64}",7
73,73,0004_002_02716-02780_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_002_02716-02780_8', 'start_frame': 2100, 'end_frame': 2164, 'label': [8], 'view': 'center', 'filenames': '0004_002_02716-02780_8.mp4', 'durations': 64}",8
74,74,0004_004_04225-04289_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_004_04225-04289_8', 'start_frame': 2780, 'end_frame': 2844, 'label': [8], 'view': 'center', 'filenames': '0004_004_04225-04289_8.mp4', 'durations': 64}",8
75,75,0004_006_04372-04436_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_006_04372-04436_8', 'start_frame': 4297, 'end_frame': 4361, 'label': [8], 'view': 'center', 'filenames': '0004_006_04372-04436_8.mp4', 'durations': 64}",8
76,76,0004_008_04953-05017_4.mp4,,64,center,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_008_04953-05017_4', 'start_frame': 4656, 'end_frame': 4720, 'label': [4], 'view': 'center', 'filenames': '0004_008_04953-05017_4.mp4', 'durations': 64}",4
77,77,0004_009_05601-05665_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_009_05601-05665_13', 'start_frame': 4953, 'end_frame': 5017, 'label': [13], 'view': 'center', 'filenames': '0004_009_05601-05665_13.mp4', 'durations': 64}",13
78,78,0004_010_05674-05738_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_010_05674-05738_8', 'start_frame': 5601, 'end_frame': 5665, 'label': [8], 'view': 'center', 'filenames': '0004_010_05674-05738_8.mp4', 'durations': 64}",8
79,79,0004_012_05784-05848_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_012_05784-05848_8', 'start_frame': 5726, 'end_frame': 5790, 'label': [8], 'view': 'center', 'filenames': '0004_012_05784-05848_8.mp4', 'durations': 64}",8
80,80,0004_014_07024-07088_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_014_07024-07088_8', 'start_frame': 5856, 'end_frame': 5920, 'label': [8], 'view': 'center', 'filenames': '0004_014_07024-07088_8.mp4', 'durations': 64}",8
81,81,0004_016_07784-07848_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_016_07784-07848_13', 'start_frame': 7574, 'end_frame': 7638, 'label': [13], 'view': 'center', 'filenames': '0004_016_07784-07848_13.mp4', 'durations': 64}",13
82,82,0004_017_08103-08167_4.mp4,,64,center,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_017_08103-08167_4', 'start_frame': 7784, 'end_frame': 7848, 'label': [4], 'view': 'center', 'filenames': '0004_017_08103-08167_4.mp4', 'durations': 64}",4
83,83,0004_019_08210-08274_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_019_08210-08274_8', 'start_frame': 8167, 'end_frame': 8231, 'label': [8], 'view': 'center', 'filenames': '0004_019_08210-08274_8.mp4', 'durations': 64}",8
84,84,0004_021_08292-08356_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_021_08292-08356_8', 'start_frame': 8240, 'end_frame': 8304, 'label': [8], 'view': 'center', 'filenames': '0004_021_08292-08356_8.mp4', 'durations': 64}",8
85,85,0004_023_08446-08510_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_023_08446-08510_8', 'start_frame': 8382, 'end_frame': 8446, 'label': [8], 'view': 'center', 'filenames': '0004_023_08446-08510_8.mp4', 'durations': 64}",8
86,86,0004_025_08520-08584_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_025_08520-08584_8', 'start_frame': 8510, 'end_frame': 8574, 'label': [8], 'view': 'center', 'filenames': '0004_025_08520-08584_8.mp4', 'durations': 64}",8
87,87,0004_027_08638-08702_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_027_08638-08702_8', 'start_frame': 8594, 'end_frame': 8658, 'label': [8], 'view': 'center', 'filenames': '0004_027_08638-08702_8.mp4', 'durations': 64}",8
89,89,0004_031_08982-09046_8.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_031_08982-09046_8', 'start_frame': 8741, 'end_frame': 8805, 'label': [8], 'view': 'center', 'filenames': '0004_031_08982-09046_8.mp4', 'durations': 64}",8
