,Unnamed: 0,filenames,folder_name,durations,view,labels,metadata
31,31,0002_007_01005-01069_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_007_01005-01069_7', 'start_frame': 941, 'end_frame': 1005, 'label': [7], 'view': 'center', 'filenames': '0002_007_01005-01069_7.mp4', 'durations': 64}"
32,32,0002_009_01096-01160_0-7.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_009_01096-01160_0-7', 'start_frame': 1067, 'end_frame': 1131, 'label': [0, 7], 'view': 'center', 'filenames': '0002_009_01096-01160_0-7.mp4', 'durations': 64}"
33,33,0002_010_01274-01338_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_010_01274-01338_7', 'start_frame': 1096, 'end_frame': 1160, 'label': [7], 'view': 'center', 'filenames': '0002_010_01274-01338_7.mp4', 'durations': 64}"
34,34,0002_012_01402-01466_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_012_01402-01466_7', 'start_frame': 1338, 'end_frame': 1402, 'label': [7], 'view': 'center', 'filenames': '0002_012_01402-01466_7.mp4', 'durations': 64}"
35,35,0002_014_02225-02289_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0002_014_02225-02289_13', 'start_frame': 1689, 'end_frame': 1753, 'label': [13], 'view': 'center', 'filenames': '0002_014_02225-02289_13.mp4', 'durations': 64}"
36,36,0002_015_02257-02321_7-0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_015_02257-02321_7-0', 'start_frame': 2225, 'end_frame': 2289, 'label': [7, 0], 'view': 'center', 'filenames': '0002_015_02257-02321_7-0.mp4', 'durations': 64}"
37,37,0002_017_02545-02609_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_017_02545-02609_0', 'start_frame': 2481, 'end_frame': 2545, 'label': [0], 'view': 'center', 'filenames': '0002_017_02545-02609_0.mp4', 'durations': 64}"
38,38,0002_019_03714-03778_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_019_03714-03778_0', 'start_frame': 3584, 'end_frame': 3648, 'label': [0], 'view': 'center', 'filenames': '0002_019_03714-03778_0.mp4', 'durations': 64}"
39,39,0002_021_05810-05874_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_021_05810-05874_0', 'start_frame': 3884, 'end_frame': 3948, 'label': [0], 'view': 'center', 'filenames': '0002_021_05810-05874_0.mp4', 'durations': 64}"
40,40,0002_022_05874-05938_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_022_05874-05938_2', 'start_frame': 5810, 'end_frame': 5874, 'label': [2], 'view': 'center', 'filenames': '0002_022_05874-05938_2.mp4', 'durations': 64}"
41,41,0002_024_09691-09755_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_024_09691-09755_7', 'start_frame': 6631, 'end_frame': 6695, 'label': [7], 'view': 'center', 'filenames': '0002_024_09691-09755_7.mp4', 'durations': 64}"
42,42,0002_026_11253-11317_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_026_11253-11317_0', 'start_frame': 11189, 'end_frame': 11253, 'label': [0], 'view': 'center', 'filenames': '0002_026_11253-11317_0.mp4', 'durations': 64}"
43,43,0002_029_13657-13721_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_029_13657-13721_0', 'start_frame': 12465, 'end_frame': 12529, 'label': [0], 'view': 'center', 'filenames': '0002_029_13657-13721_0.mp4', 'durations': 64}"
44,44,0002_030_13721-13785_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_030_13721-13785_0', 'start_frame': 13657, 'end_frame': 13721, 'label': [0], 'view': 'center', 'filenames': '0002_030_13721-13785_0.mp4', 'durations': 64}"
45,45,0002_031_14891-14955_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_031_14891-14955_0', 'start_frame': 13721, 'end_frame': 13785, 'label': [0], 'view': 'center', 'filenames': '0002_031_14891-14955_0.mp4', 'durations': 64}"
46,46,0002_032_20126-20190_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_032_20126-20190_2', 'start_frame': 14891, 'end_frame': 14955, 'label': [2], 'view': 'center', 'filenames': '0002_032_20126-20190_2.mp4', 'durations': 64}"
47,47,0002_034_21527-21591_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_034_21527-21591_0', 'start_frame': 21463, 'end_frame': 21527, 'label': [0], 'view': 'center', 'filenames': '0002_034_21527-21591_0.mp4', 'durations': 64}"
48,48,0002_035_23740-23804_0.mp4,,64,center,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_035_23740-23804_0', 'start_frame': 21527, 'end_frame': 21591, 'label': [0], 'view': 'center', 'filenames': '0002_035_23740-23804_0.mp4', 'durations': 64}"
49,49,0002_036_24317-24381_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0002_036_24317-24381_13', 'start_frame': 23740, 'end_frame': 23804, 'label': [13], 'view': 'center', 'filenames': '0002_036_24317-24381_13.mp4', 'durations': 64}"
50,50,0002_038_25765-25829_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0002_038_25765-25829_7', 'start_frame': 25590, 'end_frame': 25654, 'label': [7], 'view': 'center', 'filenames': '0002_038_25765-25829_7.mp4', 'durations': 64}"
51,51,0003_001_00373-00437_7-6.mp4,,64,center,[0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_001_00373-00437_7-6', 'start_frame': 349, 'end_frame': 413, 'label': [7, 6], 'view': 'center', 'filenames': '0003_001_00373-00437_7-6.mp4', 'durations': 64}"
52,52,0003_003_01830-01894_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_003_01830-01894_7', 'start_frame': 1766, 'end_frame': 1830, 'label': [7], 'view': 'center', 'filenames': '0003_003_01830-01894_7.mp4', 'durations': 64}"
53,53,0003_005_05223-05287_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_005_05223-05287_7', 'start_frame': 1894, 'end_frame': 1958, 'label': [7], 'view': 'center', 'filenames': '0003_005_05223-05287_7.mp4', 'durations': 64}"
59,59,0003_015_09097-09161_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0003_015_09097-09161_11', 'start_frame': 9052, 'end_frame': 9116, 'label': [11], 'view': 'center', 'filenames': '0003_015_09097-09161_11.mp4', 'durations': 64}"
60,60,0003_016_18239-18303_6.mp4,,64,center,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0003_016_18239-18303_6', 'start_frame': 9097, 'end_frame': 9161, 'label': [6], 'view': 'center', 'filenames': '0003_016_18239-18303_6.mp4', 'durations': 64}"
61,61,0003_018_18307-18371_13-7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_018_18307-18371_13-7', 'start_frame': 18303, 'end_frame': 18367, 'label': [13, 7], 'view': 'center', 'filenames': '0003_018_18307-18371_13-7.mp4', 'durations': 64}"
62,62,0003_020_18941-19005_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_020_18941-19005_13', 'start_frame': 18606, 'end_frame': 18670, 'label': [13], 'view': 'center', 'filenames': '0003_020_18941-19005_13.mp4', 'durations': 64}"
63,63,0003_022_19069-19133_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_022_19069-19133_13', 'start_frame': 19005, 'end_frame': 19069, 'label': [13], 'view': 'center', 'filenames': '0003_022_19069-19133_13.mp4', 'durations': 64}"
64,64,0003_024_19197-19261_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_024_19197-19261_13', 'start_frame': 19133, 'end_frame': 19197, 'label': [13], 'view': 'center', 'filenames': '0003_024_19197-19261_13.mp4', 'durations': 64}"
65,65,0003_026_20232-20296_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_026_20232-20296_13', 'start_frame': 20168, 'end_frame': 20232, 'label': [13], 'view': 'center', 'filenames': '0003_026_20232-20296_13.mp4', 'durations': 64}"
66,66,0003_028_21187-21251_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_028_21187-21251_13', 'start_frame': 20296, 'end_frame': 20360, 'label': [13], 'view': 'center', 'filenames': '0003_028_21187-21251_13.mp4', 'durations': 64}"
67,67,0003_030_21315-21379_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_030_21315-21379_13', 'start_frame': 21251, 'end_frame': 21315, 'label': [13], 'view': 'center', 'filenames': '0003_030_21315-21379_13.mp4', 'durations': 64}"
68,68,0003_032_24017-24081_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_032_24017-24081_13', 'start_frame': 23710, 'end_frame': 23774, 'label': [13], 'view': 'center', 'filenames': '0003_032_24017-24081_13.mp4', 'durations': 64}"
69,69,0003_033_24081-24145_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_033_24081-24145_13', 'start_frame': 24017, 'end_frame': 24081, 'label': [13], 'view': 'center', 'filenames': '0003_033_24081-24145_13.mp4', 'durations': 64}"
70,70,0003_034_26184-26248_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_034_26184-26248_13', 'start_frame': 24081, 'end_frame': 24145, 'label': [13], 'view': 'center', 'filenames': '0003_034_26184-26248_13.mp4', 'durations': 64}"
71,71,0003_035_26567-26631_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0003_035_26567-26631_13', 'start_frame': 26184, 'end_frame': 26248, 'label': [13], 'view': 'center', 'filenames': '0003_035_26567-26631_13.mp4', 'durations': 64}"
72,72,0004_000_01948-02012_7.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_000_01948-02012_7', 'start_frame': 3, 'end_frame': 67, 'label': [7], 'view': 'center', 'filenames': '0004_000_01948-02012_7.mp4', 'durations': 64}"
77,77,0004_009_05601-05665_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_009_05601-05665_13', 'start_frame': 4953, 'end_frame': 5017, 'label': [13], 'view': 'center', 'filenames': '0004_009_05601-05665_13.mp4', 'durations': 64}"
81,81,0004_016_07784-07848_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_016_07784-07848_13', 'start_frame': 7574, 'end_frame': 7638, 'label': [13], 'view': 'center', 'filenames': '0004_016_07784-07848_13.mp4', 'durations': 64}"
92,92,0004_038_09827-09891_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_038_09827-09891_11', 'start_frame': 9763, 'end_frame': 9827, 'label': [11], 'view': 'center', 'filenames': '0004_038_09827-09891_11.mp4', 'durations': 64}"
93,93,0004_042_10074-10138_1-15.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],"{'sample_id': '0004_042_10074-10138_1-15', 'start_frame': 10012, 'end_frame': 10076, 'label': [1, 15], 'view': 'center', 'filenames': '0004_042_10074-10138_1-15.mp4', 'durations': 64}"
94,94,0004_043_10138-10202_15.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],"{'sample_id': '0004_043_10138-10202_15', 'start_frame': 10074, 'end_frame': 10138, 'label': [15], 'view': 'center', 'filenames': '0004_043_10138-10202_15.mp4', 'durations': 64}"
95,95,0004_045_10218-10282_15-1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],"{'sample_id': '0004_045_10218-10282_15-1', 'start_frame': 10202, 'end_frame': 10266, 'label': [15, 1], 'view': 'center', 'filenames': '0004_045_10218-10282_15-1.mp4', 'durations': 64}"
96,96,0004_046_10282-10346_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_046_10282-10346_1', 'start_frame': 10218, 'end_frame': 10282, 'label': [1], 'view': 'center', 'filenames': '0004_046_10282-10346_1.mp4', 'durations': 64}"
97,97,0004_048_10410-10474_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_048_10410-10474_1', 'start_frame': 10346, 'end_frame': 10410, 'label': [1], 'view': 'center', 'filenames': '0004_048_10410-10474_1.mp4', 'durations': 64}"
98,98,0004_050_10571-10635_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_050_10571-10635_1', 'start_frame': 10474, 'end_frame': 10538, 'label': [1], 'view': 'center', 'filenames': '0004_050_10571-10635_1.mp4', 'durations': 64}"
99,99,0004_052_10663-10727_1-11.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_052_10663-10727_1-11', 'start_frame': 10635, 'end_frame': 10699, 'label': [1, 11], 'view': 'center', 'filenames': '0004_052_10663-10727_1-11.mp4', 'durations': 64}"
100,100,0004_053_10727-10791_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_053_10727-10791_11', 'start_frame': 10663, 'end_frame': 10727, 'label': [11], 'view': 'center', 'filenames': '0004_053_10727-10791_11.mp4', 'durations': 64}"
101,101,0004_055_10914-10978_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_055_10914-10978_1', 'start_frame': 10849, 'end_frame': 10913, 'label': [1], 'view': 'center', 'filenames': '0004_055_10914-10978_1.mp4', 'durations': 64}"
102,102,0004_056_10961-11025_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_056_10961-11025_11', 'start_frame': 10914, 'end_frame': 10978, 'label': [11], 'view': 'center', 'filenames': '0004_056_10961-11025_11.mp4', 'durations': 64}"
103,103,0004_057_11646-11710_2.mp4,,64,center,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_057_11646-11710_2', 'start_frame': 10961, 'end_frame': 11025, 'label': [2], 'view': 'center', 'filenames': '0004_057_11646-11710_2.mp4', 'durations': 64}"
104,104,0004_060_11972-12036_1-2.mp4,,64,center,[0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_060_11972-12036_1-2', 'start_frame': 11962, 'end_frame': 12026, 'label': [1, 2], 'view': 'center', 'filenames': '0004_060_11972-12036_1-2.mp4', 'durations': 64}"
105,105,0004_062_12993-13057_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_062_12993-13057_11', 'start_frame': 12929, 'end_frame': 12993, 'label': [11], 'view': 'center', 'filenames': '0004_062_12993-13057_11.mp4', 'durations': 64}"
106,106,0004_064_13121-13185_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_064_13121-13185_11', 'start_frame': 13057, 'end_frame': 13121, 'label': [11], 'view': 'center', 'filenames': '0004_064_13121-13185_11.mp4', 'durations': 64}"
107,107,0004_066_13618-13682_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_066_13618-13682_11', 'start_frame': 13185, 'end_frame': 13249, 'label': [11], 'view': 'center', 'filenames': '0004_066_13618-13682_11.mp4', 'durations': 64}"
108,108,0004_068_13734-13798_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_068_13734-13798_11', 'start_frame': 13682, 'end_frame': 13746, 'label': [11], 'view': 'center', 'filenames': '0004_068_13734-13798_11.mp4', 'durations': 64}"
113,113,0004_077_18487-18551_16-13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],"{'sample_id': '0004_077_18487-18551_16-13', 'start_frame': 18457, 'end_frame': 18521, 'label': [16, 13], 'view': 'center', 'filenames': '0004_077_18487-18551_16-13.mp4', 'durations': 64}"
114,114,0004_078_18929-18993_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_078_18929-18993_13', 'start_frame': 18487, 'end_frame': 18551, 'label': [13], 'view': 'center', 'filenames': '0004_078_18929-18993_13.mp4', 'durations': 64}"
116,116,0004_080_19102-19166_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_080_19102-19166_13', 'start_frame': 18958, 'end_frame': 19022, 'label': [13], 'view': 'center', 'filenames': '0004_080_19102-19166_13.mp4', 'durations': 64}"
119,119,0004_086_19636-19700_13.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],"{'sample_id': '0004_086_19636-19700_13', 'start_frame': 19574, 'end_frame': 19638, 'label': [13], 'view': 'center', 'filenames': '0004_086_19636-19700_13.mp4', 'durations': 64}"
120,120,0004_088_19796-19860_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_088_19796-19860_1', 'start_frame': 19732, 'end_frame': 19796, 'label': [1], 'view': 'center', 'filenames': '0004_088_19796-19860_1.mp4', 'durations': 64}"
121,121,0004_089_19826-19890_1-11.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_089_19826-19890_1-11', 'start_frame': 19796, 'end_frame': 19860, 'label': [1, 11], 'view': 'center', 'filenames': '0004_089_19826-19890_1-11.mp4', 'durations': 64}"
122,122,0004_090_19890-19954_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_090_19890-19954_11', 'start_frame': 19826, 'end_frame': 19890, 'label': [11], 'view': 'center', 'filenames': '0004_090_19890-19954_11.mp4', 'durations': 64}"
123,123,0004_092_20027-20091_11.mp4,,64,center,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],"{'sample_id': '0004_092_20027-20091_11', 'start_frame': 19954, 'end_frame': 20018, 'label': [11], 'view': 'center', 'filenames': '0004_092_20027-20091_11.mp4', 'durations': 64}"
124,124,0004_093_20091-20155_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_093_20091-20155_1', 'start_frame': 20027, 'end_frame': 20091, 'label': [1], 'view': 'center', 'filenames': '0004_093_20091-20155_1.mp4', 'durations': 64}"
125,125,0004_094_20141-20205_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_094_20141-20205_1', 'start_frame': 20091, 'end_frame': 20155, 'label': [1], 'view': 'center', 'filenames': '0004_094_20141-20205_1.mp4', 'durations': 64}"
126,126,0004_095_20205-20269_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_095_20205-20269_1', 'start_frame': 20141, 'end_frame': 20205, 'label': [1], 'view': 'center', 'filenames': '0004_095_20205-20269_1.mp4', 'durations': 64}"
127,127,0004_096_20269-20333_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_096_20269-20333_1', 'start_frame': 20205, 'end_frame': 20269, 'label': [1], 'view': 'center', 'filenames': '0004_096_20269-20333_1.mp4', 'durations': 64}"
128,128,0004_097_20742-20806_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_097_20742-20806_1', 'start_frame': 20269, 'end_frame': 20333, 'label': [1], 'view': 'center', 'filenames': '0004_097_20742-20806_1.mp4', 'durations': 64}"
129,129,0004_098_20806-20870_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_098_20806-20870_1', 'start_frame': 20742, 'end_frame': 20806, 'label': [1], 'view': 'center', 'filenames': '0004_098_20806-20870_1.mp4', 'durations': 64}"
130,130,0004_099_20870-20934_1.mp4,,64,center,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"{'sample_id': '0004_099_20870-20934_1', 'start_frame': 20806, 'end_frame': 20870, 'label': [1], 'view': 'center', 'filenames': '0004_099_20870-20934_1.mp4', 'durations': 64}"
